,id,tweet_text,sentiment,threshold,tokens,sentiment_score
0,10000,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938,"['fu', 'k', 'heck', 'move', 'fridg', 'knock', 'landlord', 'door', 'angri', 'mad']",0.75
1,10001,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.896,"['indian', 'uber', 'driver', 'call', 'someon', 'n', 'word', 'not', 'move', 'vehicl', 'would', 'jump', 'disgust']",0.75
2,10002,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.896,"['ask', 'parcel', 'deliv', 'pick', 'store', 'not', 'address', 'fume', 'poorcustomerservic']",0.75
3,10003,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.896,"['ef', 'whichev', 'butt', 'wipe', 'pull', 'fire', 'alarm', 'davi', 'bc', 'sound', 'asleep', 'piss', 'angri', 'upset', 'tire', 'sad', 'tire', 'hangri']",0.75
4,10004,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.896,"['not', 'join', 'put', 'phone', 'talk', 'rude', 'take', 'money', 'acc', 'willynilli', 'fume']",0.75
5,10005,My blood is boiling,anger,0.875,"['blood', 'boil']",0.75
6,10006,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger,0.875,"['still', 'got', 'whole', 'season', 'wentworth', 'watch', 'stupid', 'cunt', 'work', 'ruin', 'us', 'rage', 'oldcunt']",0.75
7,10007,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875,"['track', 'show', 'equip', 'deliv', 'not', 'servic', 'sudden', 'delay', 'alreadi', 'week', 'fume']",0.75
8,10008,"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875,"['legit', 'furious', 'peopl', 'fuck', 'idiot']",0.75
9,10009,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875,"['suppos', 'work', 'wtf', 'dude', 'thank', 'piss']",0.75
