tweet_text,sentiment
How unhappy  some dogs like it though,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,negative
I miss going to gigs in Liverpool unhappy ,negative
There isnt a new Riverdale tonight ? unhappy ,negative
it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,negative
Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,negative
don't like how jittery caffeine makes me sad ,negative
My area's not on the list unhappy  think I'll go LibDems anyway,negative
I want fun plans this weekend unhappy ,negative
When can you notice me.  unhappy  what?  ,negative
Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy ,negative
Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,negative
Not you again sad  ,negative
Why would Harvey be going to prison? unhappy ,negative
Missing in crying  Seaside area. ,negative
Becoz if we will depend on your promoting its waste of hardwork to all team who ,negative
I thought you'll save me crying ,negative
major waffle cravings right now sad ,negative
cant speak japanese ::(,negative
how can people do stuff like this unhappy  ,negative
please just stop confining animals in zoos unhappy  ,negative
Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,negative
i miss you huhu so busy unhappy ,negative
it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,negative
Don't do that unhappy ,negative
Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,negative
noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,negative
I wish i could vote for you unhappy ,negative
instant message so jealous okay unhappy  but never mind haha bruno can wait finals first,negative
when i'm enlisting can please turn up like this unhappy  ,negative
unhappy  how come people like this have children where's the state intervention ,negative
Ouchhhhh unhappy  ,negative
Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,negative
For those asking,negative
 the application is Kana Kanji Funtime! Sadly,negative
 it looks like iOS 11 is due to kill it unhappy  ,negative
Yeah did update to 16.04 ,negative
 it froze a few times. Then went to 16.10,negative
 froze mid install. Waited 3hrs he'd to pull plug crying ,negative
Shaandaar,negative
 Zabardast,negative
 Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,negative
I want Jabee crying ,negative
sociopath full raid gear sad  ,negative
When will you say hi sunshine ? unhappy  ,negative
i feel bad for doing that AHAHA unhappy ,negative
it's getting harder and harder to stay unhappy ,negative
His face looks bloated unhappy  baby get well soon ,negative
fuck. tried changing my settings but still in india. unhappy ,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,negative
Why am i always taken for granted eversince unhappy ,negative
Ah alright,negative
 i don%27t know if you saw my comment yet,negative
 but what camera you shooting with,negative
 does it have flip out scr ,negative
I miss Louis' tweets unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,negative
pamura isa because in this very moment,negative
 i want to explode like a grenade to the point where people will die with me. sad ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
i really want one of those iconic jimin stripes turtleneck shirt unhappy ,negative
I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,negative
Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
I miss Rockys posts unhappy  ,negative
Hey Tony,negative
 oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,negative
i love mason and miss mason unhappy ,negative
Cold as a mother crusher right now. Nearing the end of April. sad ,negative
we don%27t talk anymore like we used to do unhappy ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
miss biking unhappy ,negative
I miss Big brother unhappy ,negative
6 days in camp haiss miss you a lot unhappy ,negative
It's raining so hard unhappy ,negative
Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored unhappy ,negative
oh my god not laurie penny unhappy ,negative
can you say Hi Mekisha? unhappy ,negative
I should never draw again unhappy ,negative
Cleantha ,negative
Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,negative
i want to make waffles unhappy ,negative
So sad unhappy  ,negative
crying  muh feels,negative
Look like somethings i will ignore xD Kart Racing when? unhappy ,negative
did ate jenna just blocked me or what? unhappy ,negative
My bed is so comfortable I don't want to get up unhappy ,negative
Is that store still in use? If so,negative
 I sincerely hope not too many priceless antiques were destroyed. Reg ,negative
Astaga unhappy  /? ,negative
I want a puppy now unhappy ,negative
have to work unhappy  but i'll see you tomorrow!! ,negative
happy weed day without them is not the same anymore unhappy ,negative
my favourite lipstick hilang crying ,negative
Time just flies,negative
 can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,negative
The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,negative
Whaddup. Me too crying ,negative
unhappy  every time laughing my ass off,negative
who's selling an army bomb ver 2??? meet up on sad ,negative
Yeesh unhappy  It's fairly warm here.,negative
easter has flown unhappy  I'm not ready to give up home luxuries like branded cereal,negative
Ohnoo unhappy  unhappy  hope it recuperates sooner!!,negative
Her back unhappy  ,negative
give me a chance in west server unhappy ,negative
but you were going to do it yesterday unhappy ,negative
I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,negative
I want to drink with cigarettes unhappy ,negative
Oh mince unhappy ,negative
The manifesto,negative
 Nick? Might he deliver WHEN the time demands it. Story of his life - ,negative
It's okay I've accepted you the way you are unhappy ,negative
why do people abuse animals unhappy  they're so loyal,negative
i'm actually crying while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d unhappy ,negative
imagine if he wins next time too unhappy  unhappy ,negative
Same unhappy ,negative
I need Cue something that would make me smile....I'll be waiting...:( ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
these nosebleeds are getting outta hands unhappy ,negative
I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,negative
Dude I just want more sleep unhappy ,negative
Feel so fucking shit today unhappy ,negative
wont be able to stream tonight i'm sorry guys unhappy ,negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative
your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,negative
still waiting unhappy ,negative
#NAME?,negative
 rocks. next question - where is my astro unhappy  ? ,negative
It was not your fault,negative
 but the customs of Argentina that fill you with paperwork unhappy ,negative
i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,negative
Small fishie died unhappy ,negative
It's too nice outside to be stuck in school all day unhappy ,negative
EDM pleaseeeeeeeee   unhappy ,negative
oh my god unhappy  next time mishutuuu,negative
Can you say Hi julia ??pleasee crying  ,negative
Bby unhappy  your emotion  ,negative
I seriously thought that Coldplay was going to be band like Depeche Mode or U2,negative
 just kept going unhappy  ,negative
poor baby unhappy  I hate people ,negative
unhappy  i have to be strong today jfjfjkf,negative
I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! unhappy  How much longer?,negative
Her back unhappy  ,negative
unhappy  sorry to hear this.....,negative
I won't. if i do it's probably for phil but he hasn't seen me yet unhappy ,negative
Yuri was here and i didn't know it unhappy  the second snsd i missed ,negative
why are your campervan tickets so expensive? unhappy ,negative
Canberra is a land-locked capital. unhappy  ,negative
how much? i cant seem to deathmatch you unhappy ,negative
.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best ,negative
same unhappy ,negative
she is! HAHA but I wanted to look like v unhappy ,negative
unhappy  they look dead,negative
Puta I know sorry isn't enough pero sorry padin unhappy ,negative
mannn,negative
 i want to go to an m's game unhappy ,negative
unhappy   feeling bored,negative
I wish i could sleep early unhappy ,negative
I just hope I start getting the 1GB data per day from tonight!! unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
i want to see you happy sad ,negative
I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,negative
my braces hurt unhappy ,negative
Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? unhappy ,negative
we don%27t talk anymore like we used to do unhappy ,negative
Claaaaaaaaaaaaasse ! ,negative
What a pity! unhappy  Those were beautiful! But thank you for your answer!,negative
Sciatica. What a monumental pain in the arse. unhappy ,negative
This escalated quickly,negative
 I'm aborting mission now have a nice day though x ,negative
#NAME?,negative
 rocks. next question - where is my astro unhappy  ?,negative
Her back unhappy  ,negative
No stream tonight! Throat is killing me. unhappy ,negative
Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,negative
Don't say that unhappy ,negative
Summer's not in our school's vocabulary unhappy  We need air. Please tell ,negative
Bae's not here unhappy ,negative
Wanna get a haircut but i don%27t know a good place unhappy ,negative
it feels kind of empty w/o youngjae at the venue.. unhappy ,negative
Her back unhappy  ,negative
Yeah ,negative
 i think that's going to be true ,negative
 he can't leave us unhappy ,negative
Yesterday felt like friday unhappy ,negative
 [PLEASE RT] he'll buy me a blinking taehyung headband,negative
 if i get 900 retweets and 900 likes. help me :(un,negative
yes instant message sad crying ,negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative
Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though unhappy ,negative
I miss you unhappy ,negative
Beyond sad unhappy ,negative
Goodnight princess,negative
 I love you  have fun with your friends ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn sad ,negative
Punishment time for JB's team! unhappy  ,negative
Aw goodnight angel! I love you lots and I hope you're going to have the best tiame and a lot of fun!! Wonho's already am,negative
Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,negative
Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,negative
Got a msg! Oops not you unhappy ,negative
Just chillin~ it's a bit quiet tonight on my tough luck unhappy  what about you??,negative
 I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad unhappy ,negative
my hair is not as crisp unhappy ,negative
a couple more unhappy  ,negative
what the fuck don%27t unhappy ,negative
Going to CA in July,negative
 our reunion is in August unhappy ,negative
The road and traffic signs section of theory revision is such a myth unhappy ,negative
unhappy  We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi ,negative
you're a kabute unhappy ,negative
last to  things i've bought from you no sweets unhappy ,negative
Wish I could stay in bed all day and listen to the rain sad ,negative
I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... unhappy ,negative
When will you notice me? unhappy ,negative
GO AWAY unhappy  ,negative
ally unhappy  I can't make a poem about being cute ,negative
ehh i cant DM you unhappy ,negative
to  beautiful ladies and so full of fun and body confidence. .. then on the s ,negative
why is italian easier than spanish unhappy ,negative
i find it so difficult to says no to him unhappy  ,negative
It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,negative
i want to cry unhappy ,negative
I love got7 but god i am bored unhappy ,negative
i can't continue this right now because the lighting is shitty as f i swear sorry sad ,negative
Let's have dinneeeer please unhappy ,negative
I lost one import quizzz unhappy ,negative
i want to be mutuals with you so bad unhappy ,negative
Keep looking for the things I bought yesterday in my dream unhappy ,negative
it hurts me to see him so sad unhappy  you don't understand i have to do this. if i don't kill you,negative
 he'll kil ,negative
i hate park jisung so much sad ,negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,negative
I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,negative
HAPPY BIRTHDAY KATRIKA  I miss you though unhappy  miss having you in our group and all haih  anyway,negative
 have a blast okay. love you!,negative
I miss my dogs too unhappy ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
DIGITAL MONSTERS WANT TO WORK WITH BLACKPINK MAKE IT HAPPEN PLS unhappy  ,negative
This is so me though ,negative
i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,negative
we were classmates for alvarez but i don't really see you around school anymore unhappy ,negative
ugh i miss my baby crying ,negative
if anyone needs me I'll be on my vent unhappy ,negative
why is it so hard for you to notice me? Haay unhappy ,negative
i cant deathmatch you piss off unhappy ,negative
When are you going to notice yous? unhappy ,negative
And I miss my bedroom too unhappy ,negative
please take all the rest you needwe love you so so much :(i hope you feel better soon sunshine! ,negative
oh,negative
 same unhappy ,negative
I miss my baby unhappy  ,negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,negative
i miss them unhappy ,negative
i miss jihoon sad ,negative
My only one cat yang manja sangat and now someone has took him unhappy  ,negative
Not tired and there's nothing to do great combo unhappy ,negative
And this tweet made me cry!! crying ,negative
back to coconut hair unhappy ,negative
Please return the jacket unhappy  ,negative
who would you call when you are roused in midnightreminds me of the time(s) they were roommates unhappy  unhappy  unhappy YOU SUCK,negative
I feel so bad,negative
 and all the mobbing in Australia,negative
 I just hope everything goes right from now on unhappy ,negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,negative
hungry unhappy  but no time to buy food,negative
How can I set an alarm for 9am and snooze it until 12 unhappy ,negative
Sad story unhappy  ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
