intro,handle_sadness,goodbye,thought_record_intro,thought_record_details,thought_record_knew_exercise,thought_record_steps,find_automatic_thought,thought_record_probing_questions,find_alternative_response,recommend_supervised_help,congratulations,determine_if_feel_better_action,handle_anger
"Hi, I'm CloudBot 😊","I am here for you, USER_NAME.","Ok, USER_NAME, I am more than happy to see that you found something that can improve your mood ❤","It's alright, don't get scared. In the next moments, we will find other solutions in order to make you feel better ❤","Cognitive restructuring refers to the act of identifying ineffective patterns in thinking, and changing them to be more effective.","Alright, USER_NAME! So let's start the exercise, ok?","Then let's see the steps that we have to check in order to achieve this skill, USER_NAME! ✨","Ok, USER_NAME, now that you completed the steps from 1 to 3, let's move forward! ✨",Question 1: What is the effect of believing this thought?,"Now, USER_NAME, use your responses to these questions to create an alternative response","It seems that this solution doesn't help you enough, USER_NAME…","Good job, USER_NAME! 🎉","I see. Do you think there is a way in which you could achieve this right now, USER_NAME? ","I can understand this, USER_NAME."
Let me introduce myself. I am a trained medical bot used mostly for managing mental health issues using Cognitive Behavioral Therapy (CBT) techniques.,I assume that this feeling can impact your daily activities 🥺,"If you need something, do not forget to contact me or our amazing team!","Now, I would like to do a little exercise with you, USER_NAME.","More effective can mean triggering less negative emotion, seeing things more clearly, or enabling more skillful behavior. ",,"As a little tip, you might feel the need to grab a pen and a piece of paper near you.",Choose the automatic thought that is most responsible for your distress,Question 2: What would happen if you didn’t believe this thought?,This answer could be used for defending the automatic thought that may cause your negative emotion,I am sorry to see that…,I am more than happy to see that you succeed in reconstructing the way in which you think!,Please respond by YES or NO,I assume that this feeling generates uncomfortable behaviour 🥺
"If you want to learn more about these techniques, I encourage you to visit the link below ","But listen, everything that you need to cope with this sentiment is within you.",We are available at any time of the day.,"In medical terms, it is called Thought Record.",Cognitive restructuring builds on your ability to accurately recognize automatic thoughts and feelings. ,,Step 1: Identify the situation that triggered the negative emotion that you feel right now 🌪️,"Considering it, you should respond to the following questions",Question 3: What is the evidence supporting this thought?,"When you are ready, please let me know what idea you developed 🤗","But don’t worry, our amazing team is here to help you find a better solution for your problem ❤️","Don't forget to apply this exercise every time to feel overwhelmed by a thought, ok?",,"But listen, everything that you need to cope with this sentiment is within you."
https://cogbtherapy.com/cognitive-behavior-therapy-techniques,"What usually helps you feel better in this kind of situation, USER_NAME?","Until next time, take care of yourself 🤗",The skill we will be working on here is called cognitive restructuring.,"Sounds interesting, right? 😊",,Step 2: Write down the emotions that triggered because of the situation.,"So, USER_NAME, what automatic thought bothers you the most? 💫",Question 4: What is the evidence against this thought?,,"They are all more than happy to help you out, so don't hesitate to contact them!","Until next time, take care of yourself 🤗",,"What usually helps you feel better in this kind of situation, USER_NAME?"
I am here to help you whenever you may feel down or you may need somebody to talk to.,,"Have a wonderful day, USER_NAME! 🌸","Have you heard of this exercise before, USER_NAME?",,,Step 3: List all of your automatic thoughts that came in your mind ☘️,,"Question 5: What’s the worst that could happen, and would you survive it?",,"Nevertheless, I am always here in case you need to talk to somebody","Have a wonderful day, USER_NAME! 🌸",,
"Now, what about you? What's your name?",,,,,,"Now I will let you complete these steps, USER_NAME.",,Question 6: What’s the best that could happen?,,"You will be better soon, I promise ",,,
,,,,,,"I know that this activity can be emotionally consuming, so just type READY when you finish 😊",,Question 7: What is the most likely?,,"Until next time, take care of yourself 🤗",,,
,,,,,,,,"Question 8: If your friend was in this situation, what would you tell him/her?",,"Have a wonderful day, USER_NAME! 🌸",,,
,,,,,,,,Question 9: What can you do about this?,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
